FIPS,state_abbreviation,area_name,Revenue_retail,Business_black_owned_pct
2013,AK,Aleutians East Borough,9326,0
2016,AK,Aleutians West Census Area,46785,0
2020,AK,Anchorage Municipality,4482714,2.5
2050,AK,Bethel Census Area,96755,0
2060,AK,Bristol Bay Borough,12785,0
2068,AK,Denali Borough,11046,0
2070,AK,Dillingham Census Area,42742,0
2090,AK,Fairbanks North Star Borough,1574267,2
2100,AK,Haines Borough,16185,0
2105,AK,Hoonah-Angoon Census Area,52012,0
2110,AK,Juneau City and Borough,465334,1
2122,AK,Kenai Peninsula Borough,666923,0
2130,AK,Ketchikan Gateway Borough,268880,0
2150,AK,Kodiak Island Borough,108173,0
2164,AK,Lake and Peninsula Borough,0,0
2170,AK,Matanuska-Susitna Borough,853888,0
2180,AK,Nome Census Area,63167,0
2185,AK,North Slope Borough,70105,0
2188,AK,Northwest Arctic Borough,41576,0
2195,AK,Petersburg Borough,68451,0
2198,AK,Prince of Wales-Hyder Census Area,41561,0
2220,AK,Sitka City and Borough,94916,0
2230,AK,Skagway Municipality,0,0
2240,AK,Southeast Fairbanks Census Area,47342,0
2261,AK,Valdez-Cordova Census Area,79692,0
2270,AK,Wade Hampton Census Area,39514,0
2275,AK,Wrangell City and Borough,0,0
2282,AK,Yakutat City and Borough,0,0
2290,AK,Yukon-Koyukuk Census Area,41553,0
1001,AL,Autauga County,598175,15.2
1003,AL,Baldwin County,2966489,2.7
1005,AL,Barbour County,188337,0
1007,AL,Bibb County,124707,14.9
1009,AL,Blount County,319700,0
1011,AL,Bullock County,43810,0
1013,AL,Butler County,229277,0
1015,AL,Calhoun County,1542981,7.2
1017,AL,Chambers County,264650,0
1019,AL,Cherokee County,186321,0
1021,AL,Chilton County,359910,0
1023,AL,Choctaw County,84633,26.2
1025,AL,Clarke County,344311,0
1027,AL,Clay County,70558,0
1029,AL,Cleburne County,133407,0
1031,AL,Coffee County,639623,6
1033,AL,Colbert County,821284,0
1035,AL,Conecuh County,71232,0
1037,AL,Coosa County,20531,0
1039,AL,Covington County,424873,0
1041,AL,Crenshaw County,75456,25.8
1043,AL,Cullman County,867058,1.1
1045,AL,Dale County,332503,0
1047,AL,Dallas County,437359,49.1
1049,AL,DeKalb County,635185,0
1051,AL,Elmore County,618313,9.1
1053,AL,Escambia County,379587,9
1055,AL,Etowah County,1114841,6.1
1057,AL,Fayette County,130362,5.1
1059,AL,Franklin County,269096,0
1061,AL,Geneva County,170044,0
1063,AL,Greene County,33639,60.3
1065,AL,Hale County,86735,0
1067,AL,Henry County,92574,0
1069,AL,Houston County,1909615,12.1
1071,AL,Jackson County,410988,0
1073,AL,Jefferson County,11066328,23.4
1075,AL,Lamar County,70780,0
1077,AL,Lauderdale County,1131585,5.5
1079,AL,Lawrence County,166958,0
1081,AL,Lee County,1451634,16.2
1083,AL,Limestone County,723200,4.8
1085,AL,Lowndes County,103636,57.3
1087,AL,Macon County,87509,66.7
1089,AL,Madison County,4438653,12.3
1091,AL,Marengo County,197221,0
1093,AL,Marion County,209924,0
1095,AL,Marshall County,1357696,0
1097,AL,Mobile County,5225494,18.8
1099,AL,Monroe County,212618,23.6
1101,AL,Montgomery County,3238175,35.6
1103,AL,Morgan County,1637628,5.9
1105,AL,Perry County,34121,55.7
1107,AL,Pickens County,113222,0
1109,AL,Pike County,367926,0
1111,AL,Randolph County,161410,7.1
1113,AL,Russell County,428236,33.9
1115,AL,St. Clair County,581324,2.4
1117,AL,Shelby County,2520488,5.7
1119,AL,Sumter County,59636,57.5
1121,AL,Talladega County,730728,0
1123,AL,Tallapoosa County,362304,13
1125,AL,Tuscaloosa County,2445850,13.3
1127,AL,Walker County,903643,0
1129,AL,Washington County,76343,0
1131,AL,Wilcox County,75708,66.2
1133,AL,Winston County,166709,0
5001,AR,Arkansas County,286337,0
5003,AR,Ashley County,170779,0
5005,AR,Baxter County,486791,0
5007,AR,Benton County,2390591,0.9
5009,AR,Boone County,466894,0
5011,AR,Bradley County,71522,0
5013,AR,Calhoun County,17859,0
5015,AR,Carroll County,265358,0
5017,AR,Chicot County,67030,12.2
5019,AR,Clark County,247757,0
5021,AR,Clay County,132637,0
5023,AR,Cleburne County,282382,0
5025,AR,Cleveland County,12265,0
5027,AR,Columbia County,197935,0
5029,AR,Conway County,270351,0
5031,AR,Craighead County,1440936,0
5033,AR,Crawford County,452539,0
5035,AR,Crittenden County,750517,22.6
5037,AR,Cross County,185706,0
5039,AR,Dallas County,79676,9.6
5041,AR,Desha County,119201,0
5043,AR,Drew County,198993,6.4
5045,AR,Faulkner County,1227650,4.5
5047,AR,Franklin County,140227,0
5049,AR,Fulton County,42434,0
5051,AR,Garland County,1443438,2
5053,AR,Grant County,107622,0
5055,AR,Greene County,373077,0
5057,AR,Hempstead County,204433,0
5059,AR,Hot Spring County,207424,0
5061,AR,Howard County,160839,0
5063,AR,Independence County,384242,0
5065,AR,Izard County,104699,0
5067,AR,Jackson County,190887,0
5069,AR,Jefferson County,867380,28.1
5071,AR,Johnson County,196775,0
5073,AR,Lafayette County,32850,0
5075,AR,Lawrence County,163661,0
5077,AR,Lee County,35796,0
5079,AR,Lincoln County,57549,0
5081,AR,Little River County,88228,0
5083,AR,Logan County,178072,0
5085,AR,Lonoke County,497238,4.1
5087,AR,Madison County,114683,0
5089,AR,Marion County,87884,0
5091,AR,Miller County,407683,11.3
5093,AR,Mississippi County,421872,13.4
5095,AR,Monroe County,82241,0
5097,AR,Montgomery County,32370,0
5099,AR,Nevada County,136792,0
5101,AR,Newton County,13268,0
5103,AR,Ouachita County,185662,13.6
5105,AR,Perry County,32763,0
5107,AR,Phillips County,229411,26.7
5109,AR,Pike County,52793,0
5111,AR,Poinsett County,193122,0
5113,AR,Polk County,176896,0
5115,AR,Pope County,919267,0
5117,AR,Prairie County,39496,0
5119,AR,Pulaski County,6163074,14.1
5121,AR,Randolph County,137421,0
5123,AR,St. Francis County,353772,33.3
5125,AR,Saline County,1157723,1.7
5127,AR,Scott County,48651,0
5129,AR,Searcy County,59109,0
5131,AR,Sebastian County,1825534,2.5
5133,AR,Sevier County,160591,0
5135,AR,Sharp County,155959,0
5137,AR,Stone County,108393,0
5139,AR,Union County,526384,10.5
5141,AR,Van Buren County,152073,0
5143,AR,Washington County,2723279,0
5145,AR,White County,803511,1
5147,AR,Woodruff County,64736,0
5149,AR,Yell County,109292,0
4001,AZ,Apache County,276872,0
4003,AZ,Cochise County,1313671,2.5
4005,AZ,Coconino County,1691664,0
4007,AZ,Gila County,550763,0
4009,AZ,Graham County,389416,0
4011,AZ,Greenlee County,35595,0
4012,AZ,La Paz County,394370,0
4013,AZ,Maricopa County,58688328,2.4
4015,AZ,Mohave County,2837691,1.1
4017,AZ,Navajo County,1237467,0
4019,AZ,Pima County,11928538,1.3
4021,AZ,Pinal County,2033110,3.1
4023,AZ,Santa Cruz County,681267,0.6
4025,AZ,Yavapai County,2695406,0
4027,AZ,Yuma County,2004643,0
6001,CA,Alameda County,17909054,6.8
6003,CA,Alpine County,0,0
6005,CA,Amador County,1800754,0
6007,CA,Butte County,2400652,1.2
6009,CA,Calaveras County,292762,0
6011,CA,Colusa County,208543,0
6013,CA,Contra Costa County,11763753,4.1
6015,CA,Del Norte County,206291,0
6017,CA,El Dorado County,1619711,0
6019,CA,Fresno County,9808267,3.9
6021,CA,Glenn County,203958,0
6023,CA,Humboldt County,1726357,0
6025,CA,Imperial County,1727258,2.6
6027,CA,Inyo County,241967,0
6029,CA,Kern County,7876043,4.4
6031,CA,Kings County,1035901,0
6033,CA,Lake County,557902,0.9
6035,CA,Lassen County,260422,0
6037,CA,Los Angeles County,119111840,5.7
6039,CA,Madera County,1010216,0
6041,CA,Marin County,4589300,0.9
6043,CA,Mariposa County,84507,0
6045,CA,Mendocino County,1259064,0.3
6047,CA,Merced County,2001290,2.6
6049,CA,Modoc County,53025,0
6051,CA,Mono County,154316,0
6053,CA,Monterey County,4541144,2.4
6055,CA,Napa County,1665005,0
6057,CA,Nevada County,1077159,0
6059,CA,Orange County,45022513,1.3
6061,CA,Placer County,6180067,1.2
6063,CA,Plumas County,175272,0
6065,CA,Riverside County,24146447,5.2
6067,CA,Sacramento County,15599967,6.4
6069,CA,San Benito County,352941,0
6071,CA,San Bernardino County,21717402,7.9
6073,CA,San Diego County,38710620,2.9
6075,CA,San Francisco County,12399960,2.7
6077,CA,San Joaquin County,7109680,5.7
6079,CA,San Luis Obispo County,3548407,0
6081,CA,San Mateo County,10198837,1.6
6083,CA,Santa Barbara County,4983368,0
6085,CA,Santa Clara County,26491464,0
6087,CA,Santa Cruz County,3725362,0
6089,CA,Shasta County,2526411,0
6091,CA,Sierra County,0,0
6093,CA,Siskiyou County,403309,0
6095,CA,Solano County,4827955,8.9
6097,CA,Sonoma County,6427191,0
6099,CA,Stanislaus County,5661922,2.6
6101,CA,Sutter County,1065391,0
6103,CA,Tehama County,735399,0
6105,CA,Trinity County,69188,0
6107,CA,Tulare County,3900853,1.4
6109,CA,Tuolumne County,582426,0
6111,CA,Ventura County,11083611,1.3
6113,CA,Yolo County,1765735,0
6115,CA,Yuba County,423597,0
8001,CO,Adams County,4848908,1.6
8003,CO,Alamosa County,262997,0
8005,CO,Arapahoe County,9931962,4.1
8007,CO,Archuleta County,142696,0
8009,CO,Baca County,32910,0
8011,CO,Bent County,16419,0
8013,CO,Boulder County,4039254,0.5
8014,CO,Broomfield County,1139808,1.3
8015,CO,Chaffee County,252573,0
8017,CO,Cheyenne County,12958,0
8019,CO,Clear Creek County,73119,0
8021,CO,Conejos County,33081,0
8023,CO,Costilla County,5702,0
8025,CO,Crowley County,15707,0
8027,CO,Custer County,58746,0
8029,CO,Delta County,312871,0
8031,CO,Denver County,6835351,4.3
8033,CO,Dolores County,15039,0
8035,CO,Douglas County,3765450,0
8037,CO,Eagle County,928788,0
8039,CO,Elbert County,80718,0
8041,CO,El Paso County,7950151,2.5
8043,CO,Fremont County,352422,0
8045,CO,Garfield County,1184677,0
8047,CO,Gilpin County,3225,0
8049,CO,Grand County,193138,0
8051,CO,Gunnison County,211576,0
8053,CO,Hinsdale County,7808,0
8055,CO,Huerfano County,55321,0
8057,CO,Jackson County,19370,0
8059,CO,Jefferson County,7282158,0.6
8061,CO,Kiowa County,8036,0
8063,CO,Kit Carson County,84356,0
8065,CO,Lake County,51369,0
8067,CO,La Plata County,790433,0
8069,CO,Larimer County,3922871,0.4
8071,CO,Las Animas County,164359,0
8073,CO,Lincoln County,134696,0
8075,CO,Logan County,281292,0
8077,CO,Mesa County,2389507,0
8079,CO,Mineral County,6008,0
8081,CO,Moffat County,213043,0
8083,CO,Montezuma County,301379,0
8085,CO,Montrose County,610875,0
8087,CO,Morgan County,232820,0
8089,CO,Otero County,171450,0
8091,CO,Ouray County,26977,0
8093,CO,Park County,55409,0
8095,CO,Phillips County,45616,0
8097,CO,Pitkin County,399540,0
8099,CO,Prowers County,146970,0
8101,CO,Pueblo County,1864599,0.6
8103,CO,Rio Blanco County,54732,0
8105,CO,Rio Grande County,110165,0
8107,CO,Routt County,421473,0
8109,CO,Saguache County,20857,0
8111,CO,San Juan County,6624,0
8113,CO,San Miguel County,97815,0
8115,CO,Sedgwick County,33331,0
8117,CO,Summit County,641013,0
8119,CO,Teller County,169017,0
8121,CO,Washington County,23053,0
8123,CO,Weld County,2246115,0.6
8125,CO,Yuma County,106085,0
9001,CT,Fairfield County,15702222,4.7
9003,CT,Hartford County,13820736,6.3
9005,CT,Litchfield County,2458157,1.6
9007,CT,Middlesex County,2129195,1.3
9009,CT,New Haven County,11785336,5
9011,CT,New London County,3882978,2.1
9013,CT,Tolland County,1206302,0
9015,CT,Windham County,1180554,0.9
11001,DC,District of Columbia,3843716,28.2
10001,DE,Kent County,2589237,10.4
10003,DE,New Castle County,8633413,10.1
10005,DE,Sussex County,2979433,4.5
12001,FL,Alachua County,3152244,7.8
12003,FL,Baker County,180555,0
12005,FL,Bay County,2471968,0
12007,FL,Bradford County,215629,0
12009,FL,Brevard County,6593988,6.1
12011,FL,Broward County,30886257,16.4
12013,FL,Calhoun County,64750,0
12015,FL,Charlotte County,1898114,0
12017,FL,Citrus County,1405565,2.5
12019,FL,Clay County,2005718,6.3
12021,FL,Collier County,5186468,3.3
12023,FL,Columbia County,862158,5.7
12027,FL,DeSoto County,280786,0
12029,FL,Dixie County,49120,0
12031,FL,Duval County,13316700,14.1
12033,FL,Escambia County,4055667,9.5
12035,FL,Flagler County,684121,0
12037,FL,Franklin County,92324,0
12039,FL,Gadsden County,440290,35.1
12041,FL,Gilchrist County,52477,0
12043,FL,Glades County,13064,0
12045,FL,Gulf County,76286,0
12047,FL,Hamilton County,103218,0
12049,FL,Hardee County,400142,0
12051,FL,Hendry County,345685,0
12053,FL,Hernando County,1654088,3.6
12055,FL,Highlands County,1089559,0
12057,FL,Hillsborough County,19110290,8.6
12059,FL,Holmes County,73133,0
12061,FL,Indian River County,1851697,4.9
12063,FL,Jackson County,541943,0
12065,FL,Jefferson County,88713,0
12067,FL,Lafayette County,66528,0
12069,FL,Lake County,3441893,5.6
12071,FL,Lee County,9193114,4.2
12073,FL,Leon County,3533827,15
12075,FL,Levy County,346356,0
12077,FL,Liberty County,24403,0
12079,FL,Madison County,124831,0
12081,FL,Manatee County,3874822,3.8
12083,FL,Marion County,4218810,7.5
12085,FL,Martin County,2470433,1.7
12086,FL,Miami-Dade County,34530470,11.4
12087,FL,Monroe County,1387603,3.4
12089,FL,Nassau County,630924,2.7
12091,FL,Okaloosa County,3031043,0
12093,FL,Okeechobee County,430587,0
12095,FL,Orange County,19195634,10.9
12097,FL,Osceola County,2868737,0
12099,FL,Palm Beach County,19321650,8.9
12101,FL,Pasco County,4746208,0
12103,FL,Pinellas County,14826852,4.6
12105,FL,Polk County,6420144,7.1
12107,FL,Putnam County,671648,8.5
12109,FL,St. Johns County,2039710,2.3
12111,FL,St. Lucie County,3697675,12.8
12113,FL,Santa Rosa County,1107974,2.2
12115,FL,Sarasota County,5599478,2.1
12117,FL,Seminole County,6872148,5.4
12119,FL,Sumter County,672106,0
12121,FL,Suwannee County,353760,5.2
12123,FL,Taylor County,207073,0
12125,FL,Union County,42047,0
12127,FL,Volusia County,6099931,4.1
12129,FL,Wakulla County,167697,0
12131,FL,Walton County,705008,0
12133,FL,Washington County,177286,0
13001,GA,Appling County,179447,0
13003,GA,Atkinson County,35656,0
13005,GA,Bacon County,68612,0
13007,GA,Baker County,5320,0
13009,GA,Baldwin County,524150,0
13011,GA,Banks County,233863,0
13013,GA,Barrow County,660898,0
13015,GA,Bartow County,1177422,7
13017,GA,Ben Hill County,224967,14.2
13019,GA,Berrien County,129158,0
13021,GA,Bibb County,2536200,32.5
13023,GA,Bleckley County,76320,0
13025,GA,Brantley County,62404,0
13027,GA,Brooks County,88152,0
13029,GA,Bryan County,224984,0
13031,GA,Bulloch County,733425,0
13033,GA,Burke County,177473,28.3
13035,GA,Butts County,295450,0
13037,GA,Calhoun County,19557,0
13039,GA,Camden County,648346,0
13043,GA,Candler County,114511,0
13045,GA,Carroll County,1252468,8.3
13047,GA,Catoosa County,795089,0
13049,GA,Charlton County,68423,0
13051,GA,Chatham County,4004232,23.5
13053,GA,Chattahoochee County,12987,36.4
13055,GA,Chattooga County,147194,0
13057,GA,Cherokee County,2114906,3.3
13059,GA,Clarke County,1669122,0
13061,GA,Clay County,11021,0
13063,GA,Clayton County,3207049,51.5
13065,GA,Clinch County,39791,0
13067,GA,Cobb County,10480711,18.6
13069,GA,Coffee County,458699,9.8
13071,GA,Colquitt County,432377,0
13073,GA,Columbia County,1406298,7.4
13075,GA,Cook County,118054,0
13077,GA,Coweta County,1290974,0
13079,GA,Crawford County,18191,0
13081,GA,Crisp County,326453,0
13083,GA,Dade County,189274,0
13085,GA,Dawson County,466567,0
13087,GA,Decatur County,395435,29
13089,GA,DeKalb County,7973387,39.6
13091,GA,Dodge County,167117,0
13093,GA,Dooly County,151362,30.6
13095,GA,Dougherty County,1543650,34
13097,GA,Douglas County,2055804,0
13099,GA,Early County,75758,0
13101,GA,Echols County,0,0
13103,GA,Effingham County,322581,6.5
13105,GA,Elbert County,136950,0
13107,GA,Emanuel County,184041,0
13109,GA,Evans County,153912,0
13111,GA,Fannin County,293099,0
13113,GA,Fayette County,1390039,16
13115,GA,Floyd County,1039780,0
13117,GA,Forsyth County,1960919,1.9
13119,GA,Franklin County,315062,0
13121,GA,Fulton County,13239670,26.7
13123,GA,Gilmer County,370523,0
13125,GA,Glascock County,4815,0
13127,GA,Glynn County,1351775,0
13129,GA,Gordon County,659417,0
13131,GA,Grady County,168147,0
13133,GA,Greene County,137147,14.6
13135,GA,Gwinnett County,13857021,17
13137,GA,Habersham County,492128,0
13139,GA,Hall County,2220699,0
13141,GA,Hancock County,21008,55.5
13143,GA,Haralson County,313130,0
13145,GA,Harris County,66126,0
13147,GA,Hart County,170726,0
13149,GA,Heard County,24751,0
13151,GA,Henry County,1907354,28.9
13153,GA,Houston County,1524261,17.1
13155,GA,Irwin County,27252,10.9
13157,GA,Jackson County,559370,0
13159,GA,Jasper County,33351,0
13161,GA,Jeff Davis County,204381,0
13163,GA,Jefferson County,129391,31.8
13165,GA,Jenkins County,53910,0
13167,GA,Johnson County,25209,0
13169,GA,Jones County,70608,0
13171,GA,Lamar County,113965,0
13173,GA,Lanier County,0,0
13175,GA,Laurens County,613069,0
13177,GA,Lee County,123990,0
13179,GA,Liberty County,539287,36.7
13181,GA,Lincoln County,39568,0
13183,GA,Long County,17394,0
13185,GA,Lowndes County,1804839,12.9
13187,GA,Lumpkin County,206576,0
13189,GA,McDuffie County,350350,0
13191,GA,McIntosh County,113983,0
13193,GA,Macon County,47915,0
13195,GA,Madison County,119211,0
13197,GA,Marion County,71742,0
13199,GA,Meriwether County,100756,22.9
13201,GA,Miller County,53450,0
13205,GA,Mitchell County,150978,0
13207,GA,Monroe County,114402,15.2
13209,GA,Montgomery County,24737,0
13211,GA,Morgan County,276447,0
13213,GA,Murray County,218860,0
13215,GA,Muscogee County,2889210,37.4
13217,GA,Newton County,679365,33.4
13219,GA,Oconee County,326375,0
13221,GA,Oglethorpe County,69636,0
13223,GA,Paulding County,973010,14.6
13225,GA,Peach County,317396,0
13227,GA,Pickens County,320506,0
13229,GA,Pierce County,99714,0
13231,GA,Pike County,33873,0
13233,GA,Polk County,314659,0
13235,GA,Pulaski County,84491,0
13237,GA,Putnam County,204112,0
13239,GA,Quitman County,2769,0
13241,GA,Rabun County,234433,0
13243,GA,Randolph County,44341,0
13245,GA,Richmond County,2505076,38.1
13247,GA,Rockdale County,1450095,34.8
13249,GA,Schley County,18573,0
13251,GA,Screven County,93578,0
13253,GA,Seminole County,76470,23.7
13255,GA,Spalding County,661569,0
13257,GA,Stephens County,274713,0
13259,GA,Stewart County,23878,0
13261,GA,Sumter County,326121,23.6
13263,GA,Talbot County,4663,46.3
13265,GA,Taliaferro County,1710,0
13267,GA,Tattnall County,102403,0
13269,GA,Taylor County,46384,0
13271,GA,Telfair County,77349,0
13273,GA,Terrell County,68284,0
13275,GA,Thomas County,627509,0
13277,GA,Tift County,721588,11.1
13279,GA,Toombs County,386338,10.9
13281,GA,Towns County,102261,0
13283,GA,Treutlen County,30428,0
13285,GA,Troup County,798823,25.8
13287,GA,Turner County,64546,0
13289,GA,Twiggs County,30340,0
13291,GA,Union County,246740,0
13293,GA,Upson County,208661,0
13295,GA,Walker County,344223,0
13297,GA,Walton County,797195,0
13299,GA,Ware County,621068,0
13301,GA,Warren County,23192,0
13303,GA,Washington County,213695,0
13305,GA,Wayne County,310344,0
13307,GA,Webster County,4748,0
13309,GA,Wheeler County,18141,0
13311,GA,White County,280664,1.3
13313,GA,Whitfield County,1440223,0
13315,GA,Wilcox County,27365,0
13317,GA,Wilkes County,73407,0
13319,GA,Wilkinson County,24250,0
13321,GA,Worth County,132224,18.4
15001,HI,Hawaii County,2566012,0
15003,HI,Honolulu County,11518349,1.1
15005,HI,Kalawao County,0,0
15007,HI,Kauai County,1052671,0
15009,HI,Maui County,2474819,0.6
19001,IA,Adair County,49644,0
19003,IA,Adams County,32586,0
19005,IA,Allamakee County,128662,0
19007,IA,Appanoose County,133534,0
19009,IA,Audubon County,37302,0
19011,IA,Benton County,176434,0
19013,IA,Black Hawk County,1929430,4.1
19015,IA,Boone County,210610,0
19017,IA,Bremer County,268428,0
19019,IA,Buchanan County,214820,0
19021,IA,Buena Vista County,260846,0
19023,IA,Butler County,79082,0
19025,IA,Calhoun County,103509,0
19027,IA,Carroll County,298050,0
19029,IA,Cass County,178171,0
19031,IA,Cedar County,131334,0
19033,IA,Cerro Gordo County,887071,0
19035,IA,Cherokee County,139445,0
19037,IA,Chickasaw County,103931,0
19039,IA,Clarke County,95388,0
19041,IA,Clay County,298664,0
19043,IA,Clayton County,163572,0
19045,IA,Clinton County,635654,0
19047,IA,Crawford County,162386,0
19049,IA,Dallas County,905710,0.6
19051,IA,Davis County,71612,0
19053,IA,Decatur County,39590,0
19055,IA,Delaware County,171404,0
19057,IA,Des Moines County,616900,0.9
19059,IA,Dickinson County,255190,0
19061,IA,Dubuque County,1433461,1.1
19063,IA,Emmet County,92665,0
19065,IA,Fayette County,157244,0
19067,IA,Floyd County,149138,0
19069,IA,Franklin County,65933,0
19071,IA,Fremont County,102932,0
19073,IA,Greene County,87923,0
19075,IA,Grundy County,109363,0
19077,IA,Guthrie County,91301,0
19079,IA,Hamilton County,149277,0
19081,IA,Hancock County,119314,0
19083,IA,Hardin County,161778,0
19085,IA,Harrison County,100916,0
19087,IA,Henry County,214737,0
19089,IA,Howard County,83186,0
19091,IA,Humboldt County,82011,0
19093,IA,Ida County,61131,0
19095,IA,Iowa County,213413,0
19097,IA,Jackson County,209951,0
19099,IA,Jasper County,273960,0
19101,IA,Jefferson County,333485,0
19103,IA,Johnson County,1653057,1.8
19105,IA,Jones County,257667,0
19107,IA,Keokuk County,66877,0
19109,IA,Kossuth County,195827,0
19111,IA,Lee County,420758,0
19113,IA,Linn County,3592845,0.7
19115,IA,Louisa County,56465,0
19117,IA,Lucas County,84344,0
19119,IA,Lyon County,91091,0
19121,IA,Madison County,80594,0
19123,IA,Mahaska County,242911,0
19125,IA,Marion County,333092,0
19127,IA,Marshall County,407694,0
19129,IA,Mills County,78569,0
19131,IA,Mitchell County,93053,0
19133,IA,Monona County,99152,0
19135,IA,Monroe County,62488,0
19137,IA,Montgomery County,88288,0
19139,IA,Muscatine County,448581,0.8
19141,IA,O'Brien County,169740,0
19143,IA,Osceola County,40538,0
19145,IA,Page County,163001,0
19147,IA,Palo Alto County,65829,0
19149,IA,Plymouth County,299650,0
19151,IA,Pocahontas County,79888,0
19153,IA,Polk County,6714418,1.9
19155,IA,Pottawattamie County,1503395,0
19157,IA,Poweshiek County,241342,0
19159,IA,Ringgold County,63578,0
19161,IA,Sac County,92468,0
19163,IA,Scott County,2852978,0
19165,IA,Shelby County,135125,0
