,fips,state_abbreviation,area_name,Revenue_retail,Business_black_owned_pct
0,0,,United States,3917663456,7.1
1,1000,,Alabama,57344851,14.8
2,1001,AL,Autauga County,598175,15.2
3,1003,AL,Baldwin County,2966489,2.7
4,1005,AL,Barbour County,188337,0.0
5,1007,AL,Bibb County,124707,14.9
6,1009,AL,Blount County,319700,0.0
7,1011,AL,Bullock County,43810,0.0
8,1013,AL,Butler County,229277,0.0
9,1015,AL,Calhoun County,1542981,7.2
10,1017,AL,Chambers County,264650,0.0
11,1019,AL,Cherokee County,186321,0.0
12,1021,AL,Chilton County,359910,0.0
13,1023,AL,Choctaw County,84633,26.2
14,1025,AL,Clarke County,344311,0.0
15,1027,AL,Clay County,70558,0.0
16,1029,AL,Cleburne County,133407,0.0
17,1031,AL,Coffee County,639623,6.0
18,1033,AL,Colbert County,821284,0.0
19,1035,AL,Conecuh County,71232,0.0
20,1037,AL,Coosa County,20531,0.0
21,1039,AL,Covington County,424873,0.0
22,1041,AL,Crenshaw County,75456,25.8
23,1043,AL,Cullman County,867058,1.1
24,1045,AL,Dale County,332503,0.0
25,1047,AL,Dallas County,437359,49.1
26,1049,AL,DeKalb County,635185,0.0
27,1051,AL,Elmore County,618313,9.1
28,1053,AL,Escambia County,379587,9.0
29,1055,AL,Etowah County,1114841,6.1
30,1057,AL,Fayette County,130362,5.1
31,1059,AL,Franklin County,269096,0.0
32,1061,AL,Geneva County,170044,0.0
33,1063,AL,Greene County,33639,60.3
34,1065,AL,Hale County,86735,0.0
35,1067,AL,Henry County,92574,0.0
36,1069,AL,Houston County,1909615,12.1
37,1071,AL,Jackson County,410988,0.0
38,1073,AL,Jefferson County,11066328,23.4
39,1075,AL,Lamar County,70780,0.0
40,1077,AL,Lauderdale County,1131585,5.5
41,1079,AL,Lawrence County,166958,0.0
42,1081,AL,Lee County,1451634,16.2
43,1083,AL,Limestone County,723200,4.8
44,1085,AL,Lowndes County,103636,57.3
45,1087,AL,Macon County,87509,66.7
46,1089,AL,Madison County,4438653,12.3
47,1091,AL,Marengo County,197221,0.0
48,1093,AL,Marion County,209924,0.0
49,1095,AL,Marshall County,1357696,0.0
50,1097,AL,Mobile County,5225494,18.8
51,1099,AL,Monroe County,212618,23.6
52,1101,AL,Montgomery County,3238175,35.6
53,1103,AL,Morgan County,1637628,5.9
54,1105,AL,Perry County,34121,55.7
55,1107,AL,Pickens County,113222,0.0
56,1109,AL,Pike County,367926,0.0
57,1111,AL,Randolph County,161410,7.1
58,1113,AL,Russell County,428236,33.9
59,1115,AL,St. Clair County,581324,2.4
60,1117,AL,Shelby County,2520488,5.7
61,1119,AL,Sumter County,59636,57.5
62,1121,AL,Talladega County,730728,0.0
63,1123,AL,Tallapoosa County,362304,13.0
64,1125,AL,Tuscaloosa County,2445850,13.3
65,1127,AL,Walker County,903643,0.0
66,1129,AL,Washington County,76343,0.0
67,1131,AL,Wilcox County,75708,66.2
68,1133,AL,Winston County,166709,0.0
69,2000,,Alaska,9303387,1.5
70,2013,AK,Aleutians East Borough,9326,0.0
71,2016,AK,Aleutians West Census Area,46785,0.0
72,2020,AK,Anchorage Municipality,4482714,2.5
73,2050,AK,Bethel Census Area,96755,0.0
74,2060,AK,Bristol Bay Borough,12785,0.0
75,2068,AK,Denali Borough,11046,0.0
76,2070,AK,Dillingham Census Area,42742,0.0
77,2090,AK,Fairbanks North Star Borough,1574267,2.0
78,2100,AK,Haines Borough,16185,0.0
79,2105,AK,Hoonah-Angoon Census Area,52012,0.0
80,2110,AK,Juneau City and Borough,465334,1.0
81,2122,AK,Kenai Peninsula Borough,666923,0.0
82,2130,AK,Ketchikan Gateway Borough,268880,0.0
83,2150,AK,Kodiak Island Borough,108173,0.0
84,2164,AK,Lake and Peninsula Borough,0,0.0
85,2170,AK,Matanuska-Susitna Borough,853888,0.0
86,2180,AK,Nome Census Area,63167,0.0
87,2185,AK,North Slope Borough,70105,0.0
88,2188,AK,Northwest Arctic Borough,41576,0.0
89,2195,AK,Petersburg Borough,68451,0.0
90,2198,AK,Prince of Wales-Hyder Census Area,41561,0.0
91,2220,AK,Sitka City and Borough,94916,0.0
92,2230,AK,Skagway Municipality,0,0.0
93,2240,AK,Southeast Fairbanks Census Area,47342,0.0
94,2261,AK,Valdez-Cordova Census Area,79692,0.0
95,2270,AK,Wade Hampton Census Area,39514,0.0
96,2275,AK,Wrangell City and Borough,0,0.0
97,2282,AK,Yakutat City and Borough,0,0.0
98,2290,AK,Yukon-Koyukuk Census Area,41553,0.0
99,4000,,Arizona,86758801,2.0
100,4001,AZ,Apache County,276872,0.0
101,4003,AZ,Cochise County,1313671,2.5
102,4005,AZ,Coconino County,1691664,0.0
103,4007,AZ,Gila County,550763,0.0
104,4009,AZ,Graham County,389416,0.0
105,4011,AZ,Greenlee County,35595,0.0
106,4012,AZ,La Paz County,394370,0.0
107,4013,AZ,Maricopa County,58688328,2.4
108,4015,AZ,Mohave County,2837691,1.1
109,4017,AZ,Navajo County,1237467,0.0
110,4019,AZ,Pima County,11928538,1.3
111,4021,AZ,Pinal County,2033110,3.1
112,4023,AZ,Santa Cruz County,681267,0.6
113,4025,AZ,Yavapai County,2695406,0.0
114,4027,AZ,Yuma County,2004643,0.0
115,5000,,Arkansas,32974282,5.5
116,5001,AR,Arkansas County,286337,0.0
117,5003,AR,Ashley County,170779,0.0
118,5005,AR,Baxter County,486791,0.0
119,5007,AR,Benton County,2390591,0.9
120,5009,AR,Boone County,466894,0.0
121,5011,AR,Bradley County,71522,0.0
122,5013,AR,Calhoun County,17859,0.0
123,5015,AR,Carroll County,265358,0.0
124,5017,AR,Chicot County,67030,12.2
125,5019,AR,Clark County,247757,0.0
126,5021,AR,Clay County,132637,0.0
127,5023,AR,Cleburne County,282382,0.0
128,5025,AR,Cleveland County,12265,0.0
129,5027,AR,Columbia County,197935,0.0
130,5029,AR,Conway County,270351,0.0
131,5031,AR,Craighead County,1440936,0.0
132,5033,AR,Crawford County,452539,0.0
133,5035,AR,Crittenden County,750517,22.6
134,5037,AR,Cross County,185706,0.0
135,5039,AR,Dallas County,79676,9.6
136,5041,AR,Desha County,119201,0.0
137,5043,AR,Drew County,198993,6.4
138,5045,AR,Faulkner County,1227650,4.5
139,5047,AR,Franklin County,140227,0.0
140,5049,AR,Fulton County,42434,0.0
141,5051,AR,Garland County,1443438,2.0
142,5053,AR,Grant County,107622,0.0
143,5055,AR,Greene County,373077,0.0
144,5057,AR,Hempstead County,204433,0.0
145,5059,AR,Hot Spring County,207424,0.0
146,5061,AR,Howard County,160839,0.0
147,5063,AR,Independence County,384242,0.0
148,5065,AR,Izard County,104699,0.0
149,5067,AR,Jackson County,190887,0.0
150,5069,AR,Jefferson County,867380,28.1
151,5071,AR,Johnson County,196775,0.0
152,5073,AR,Lafayette County,32850,0.0
153,5075,AR,Lawrence County,163661,0.0
154,5077,AR,Lee County,35796,0.0
155,5079,AR,Lincoln County,57549,0.0
156,5081,AR,Little River County,88228,0.0
157,5083,AR,Logan County,178072,0.0
158,5085,AR,Lonoke County,497238,4.1
159,5087,AR,Madison County,114683,0.0
160,5089,AR,Marion County,87884,0.0
161,5091,AR,Miller County,407683,11.3
162,5093,AR,Mississippi County,421872,13.4
163,5095,AR,Monroe County,82241,0.0
164,5097,AR,Montgomery County,32370,0.0
165,5099,AR,Nevada County,136792,0.0
166,5101,AR,Newton County,13268,0.0
167,5103,AR,Ouachita County,185662,13.6
168,5105,AR,Perry County,32763,0.0
169,5107,AR,Phillips County,229411,26.7
170,5109,AR,Pike County,52793,0.0
171,5111,AR,Poinsett County,193122,0.0
172,5113,AR,Polk County,176896,0.0
173,5115,AR,Pope County,919267,0.0
174,5117,AR,Prairie County,39496,0.0
175,5119,AR,Pulaski County,6163074,14.1
176,5121,AR,Randolph County,137421,0.0
177,5123,AR,St. Francis County,353772,33.3
178,5125,AR,Saline County,1157723,1.7
179,5127,AR,Scott County,48651,0.0
180,5129,AR,Searcy County,59109,0.0
181,5131,AR,Sebastian County,1825534,2.5
182,5133,AR,Sevier County,160591,0.0
183,5135,AR,Sharp County,155959,0.0
184,5137,AR,Stone County,108393,0.0
185,5139,AR,Union County,526384,10.5
186,5141,AR,Van Buren County,152073,0.0
187,5143,AR,Washington County,2723279,0.0
188,5145,AR,White County,803511,1.0
189,5147,AR,Woodruff County,64736,0.0
190,5149,AR,Yell County,109292,0.0
191,6000,,California,455032270,4.0
192,6001,CA,Alameda County,17909054,6.8
193,6003,CA,Alpine County,0,0.0
194,6005,CA,Amador County,1800754,0.0
195,6007,CA,Butte County,2400652,1.2
196,6009,CA,Calaveras County,292762,0.0
197,6011,CA,Colusa County,208543,0.0
198,6013,CA,Contra Costa County,11763753,4.1
199,6015,CA,Del Norte County,206291,0.0
200,6017,CA,El Dorado County,1619711,0.0
201,6019,CA,Fresno County,9808267,3.9
202,6021,CA,Glenn County,203958,0.0
203,6023,CA,Humboldt County,1726357,0.0
204,6025,CA,Imperial County,1727258,2.6
205,6027,CA,Inyo County,241967,0.0
206,6029,CA,Kern County,7876043,4.4
207,6031,CA,Kings County,1035901,0.0
208,6033,CA,Lake County,557902,0.9
209,6035,CA,Lassen County,260422,0.0
210,6037,CA,Los Angeles County,119111840,5.7
211,6039,CA,Madera County,1010216,0.0
212,6041,CA,Marin County,4589300,0.9
213,6043,CA,Mariposa County,84507,0.0
214,6045,CA,Mendocino County,1259064,0.3
215,6047,CA,Merced County,2001290,2.6
216,6049,CA,Modoc County,53025,0.0
217,6051,CA,Mono County,154316,0.0
218,6053,CA,Monterey County,4541144,2.4
219,6055,CA,Napa County,1665005,0.0
220,6057,CA,Nevada County,1077159,0.0
221,6059,CA,Orange County,45022513,1.3
222,6061,CA,Placer County,6180067,1.2
223,6063,CA,Plumas County,175272,0.0
224,6065,CA,Riverside County,24146447,5.2
225,6067,CA,Sacramento County,15599967,6.4
226,6069,CA,San Benito County,352941,0.0
227,6071,CA,San Bernardino County,21717402,7.9
228,6073,CA,San Diego County,38710620,2.9
229,6075,CA,San Francisco County,12399960,2.7
230,6077,CA,San Joaquin County,7109680,5.7
231,6079,CA,San Luis Obispo County,3548407,0.0
232,6081,CA,San Mateo County,10198837,1.6
233,6083,CA,Santa Barbara County,4983368,0.0
234,6085,CA,Santa Clara County,26491464,0.0
235,6087,CA,Santa Cruz County,3725362,0.0
236,6089,CA,Shasta County,2526411,0.0
237,6091,CA,Sierra County,0,0.0
238,6093,CA,Siskiyou County,403309,0.0
239,6095,CA,Solano County,4827955,8.9
240,6097,CA,Sonoma County,6427191,0.0
241,6099,CA,Stanislaus County,5661922,2.6
242,6101,CA,Sutter County,1065391,0.0
243,6103,CA,Tehama County,735399,0.0
244,6105,CA,Trinity County,69188,0.0
245,6107,CA,Tulare County,3900853,1.4
246,6109,CA,Tuolumne County,582426,0.0
247,6111,CA,Ventura County,11083611,1.3
248,6113,CA,Yolo County,1765735,0.0
249,6115,CA,Yuba County,423597,0.0
250,8000,,Colorado,65896788,1.7
251,8001,CO,Adams County,4848908,1.6
252,8003,CO,Alamosa County,262997,0.0
